date,region,product,revenue,units_sold,customer_count
2024-09-07,East,Product E,861.96,17,8
2024-09-07,West,Product A,782.38,15,7
2024-09-07,West,Product B,841.54,16,8
2024-09-07,West,Product C,996.88,19,9
2024-09-07,West,Product D,687.24,13,6
2024-09-07,West,Product E,613.77,12,6
2024-09-07,Central,Product A,594.14,11,5
2024-09-07,Central,Product B,604.79,12,6
2024-09-07,Central,Product C,711.57,14,7
2024-09-07,Central,Product D,772.02,15,7
2024-09-07,Central,Product E,762.71,15,7
2024-09-08,North,Product A,840.03,16,8
2024-09-08,North,Product B,722.66,14,7
2024-09-08,North,Product C,930.32,18,9
2024-09-08,North,Product D,682.63,13,6
2024-09-08,North,Product E,1112.91,22,11
2024-09-08,South,Product A,810.98,16,8
2024-09-08,South,Product B,597.22,11,5
2024-09-08,South,Product C,566.41,11,5
2024-09-08,South,Product D,790.33,15,7
2024-09-08,South,Product E,688.57,13,6
2024-09-08,East,Product A,823.71,16,8
2024-09-08,East,Product B,789.0,15,7
2024-09-08,East,Product C,710.28,14,7
2024-09-08,East,Product D,598.71,11,5
2024-09-08,East,Product E,502.41,10,5
2024-09-08,West,Product A,656.41,13,6
2024-09-08,West,Product B,844.24,16,8
2024-09-08,West,Product C,751.65,15,7
2024-09-08,West,Product D,541.2,10,5
2024-09-08,West,Product E,745.75,14,7
2024-09-08,Central,Product A,776.33,15,7
2024-09-08,Central,Product B,593.37,11,5
2024-09-08,Central,Product C,742.94,14,7
2024-09-08,Central,Product D,729.17,14,7
2024-09-08,Central,Product E,556.02,11,5
2024-09-09,North,Product A,770.38,15,7
2024-09-09,North,Product B,799.57,15,7
2024-09-09,North,Product C,874.66,17,8
2024-09-09,North,Product D,870.46,17,8
2024-09-09,North,Product E,520.84,10,5
2024-09-09,South,Product A,584.09,11,5
2024-09-09,South,Product B,792.99,15,7
2024-09-09,South,Product C,792.81,15,7
2024-09-09,South,Product D,792.99,15,7
2024-09-09,South,Product E,1272.91,25,12
2024-09-09,East,Product A,801.02,16,8
2024-09-09,East,Product B,882.22,17,8
2024-09-09,East,Product C,856.11,17,8
2024-09-09,East,Product D,812.6,16,8
2024-09-09,East,Product E,673.6,13,6
2024-09-09,West,Product A,828.07,16,8
2024-09-09,West,Product B,607.81,12,6
2024-09-09,West,Product C,684.88,13,6
2024-09-09,West,Product D,649.15,12,6
2024-09-09,West,Product E,730.71,14,7
2024-09-09,Central,Product A,1051.75,21,10
2024-09-09,Central,Product B,450.45,9,4
2024-09-09,Central,Product C,817.61,16,8
2024-09-09,Central,Product D,487.05,9,4
2024-09-09,Central,Product E,651.08,13,6
2024-09-10,North,Product A,873.36,17,8
2024-09-10,North,Product B,726.39,14,7
2024-09-10,North,Product C,562.59,11,5
2024-09-10,North,Product D,614.57,12,6
2024-09-10,North,Product E,814.65,16,8
2024-09-10,South,Product A,612.41,12,6
2024-09-10,South,Product B,748.22,14,7
2024-09-10,South,Product C,723.71,14,7
2024-09-10,South,Product D,623.71,12,6
2024-09-10,South,Product E,1024.69,20,10
2024-09-10,East,Product A,808.1,16,8
2024-09-10,East,Product B,426.7,8,4
2024-09-10,East,Product C,743.92,14,7
2024-09-10,East,Product D,622.25,12,6
2024-09-10,East,Product E,839.44,16,8
2024-09-10,West,Product A,603.5,12,6
2024-09-10,West,Product B,700.71,14,7
2024-09-10,West,Product C,789.6,15,7
2024-09-10,West,Product D,841.35,16,8
2024-09-10,West,Product E,545.01,10,5
2024-09-10,Central,Product A,669.19,13,6
2024-09-10,Central,Product B,649.05,12,6
2024-09-10,Central,Product C,623.46,12,6
2024-09-10,Central,Product D,970.4,19,9
2024-09-10,Central,Product E,775.26,15,7
2024-09-11,North,Product A,535.06,10,5
2024-09-11,North,Product B,846.84,16,8
2024-09-11,North,Product C,1019.17,20,10
2024-09-11,North,Product D,863.24,17,8
2024-09-11,North,Product E,498.07,9,4
2024-09-11,South,Product A,646.2,12,6
2024-09-11,South,Product B,896.78,17,8
2024-09-11,South,Product C,614.23,12,6
2024-09-11,South,Product D,779.0,15,7
2024-09-11,South,Product E,826.34,16,8
2024-09-11,East,Product A,582.85,11,5
2024-09-11,East,Product B,706.97,14,7
2024-09-11,East,Product C,251.67,5,2
2024-09-11,East,Product D,568.9,11,5
2024-09-11,East,Product E,679.35,13,6
2024-09-11,West,Product A,536.94,10,5
2024-09-11,West,Product B,949.09,18,9
2024-09-11,West,Product C,510.84,10,5
2024-09-11,West,Product D,652.52,13,6
2024-09-11,West,Product E,734.2,14,7
2024-09-11,Central,Product A,921.74,18,9
2024-09-11,Central,Product B,510.02,10,5
2024-09-11,Central,Product C,881.94,17,8
2024-09-11,Central,Product D,716.96,14,7
2024-09-11,Central,Product E,575.04,11,5
2024-09-12,North,Product A,779.87,15,7
2024-09-12,North,Product B,742.32,14,7
2024-09-12,North,Product C,628.2,12,6
2024-09-12,North,Product D,723.86,14,7
2024-09-12,North,Product E,658.88,13,6
2024-09-12,South,Product A,730.1,14,7
2024-09-12,South,Product B,808.43,16,8
2024-09-12,South,Product C,940.35,18,9
2024-09-12,South,Product D,537.16,10,5
2024-09-12,South,Product E,1018.45,20,10
2024-09-12,East,Product A,435.18,8,4
2024-09-12,East,Product B,692.22,13,6
2024-09-12,East,Product C,797.9,15,7
2024-09-12,East,Product D,754.02,15,7
2024-09-12,East,Product E,624.99,12,6
2024-09-12,West,Product A,684.18,13,6
2024-09-12,West,Product B,643.51,12,6
2024-09-12,West,Product C,629.75,12,6
2024-09-12,West,Product D,835.2,16,8
2024-09-12,West,Product E,764.87,15,7
2024-09-12,Central,Product A,614.96,12,6
2024-09-12,Central,Product B,842.34,16,8
2024-09-12,Central,Product C,757.77,15,7
2024-09-12,Central,Product D,829.96,16,8
2024-09-12,Central,Product E,803.79,16,8
2024-09-13,North,Product A,594.27,11,5
2024-09-13,North,Product B,632.57,12,6
2024-09-13,North,Product C,818.86,16,8
2024-09-13,North,Product D,799.35,15,7
2024-09-13,North,Product E,709.41,14,7
2024-09-13,South,Product A,729.1,14,7
2024-09-13,South,Product B,894.42,17,8
2024-09-13,South,Product C,628.1,12,6
2024-09-13,South,Product D,790.33,15,7
2024-09-13,South,Product E,683.58,13,6
2024-09-13,East,Product A,681.37,13,6
2024-09-13,East,Product B,868.94,17,8
2024-09-13,East,Product C,829.99,16,8
2024-09-13,East,Product D,828.29,16,8
2024-09-13,East,Product E,898.39,17,8
2024-09-13,West,Product A,715.38,14,7
2024-09-13,West,Product B,809.55,16,8
2024-09-13,West,Product C,668.18,13,6
2024-09-13,West,Product D,758.57,15,7
2024-09-13,West,Product E,693.84,13,6
2024-09-13,Central,Product A,726.2,14,7
2024-09-13,Central,Product B,797.18,15,7
2024-09-13,Central,Product C,595.81,11,5
2024-09-13,Central,Product D,1010.5,20,10
2024-09-13,Central,Product E,569.05,11,5
2024-09-14,North,Product A,538.31,10,5
2024-09-14,North,Product B,875.63,17,8
2024-09-14,North,Product C,823.53,16,8
2024-09-14,North,Product D,799.7,15,7
2024-09-14,North,Product E,800.3,16,8
2024-09-14,South,Product A,709.22,14,7
2024-09-14,South,Product B,583.38,11,5
2024-09-14,South,Product C,721.74,14,7
2024-09-14,South,Product D,614.67,12,6
2024-09-14,South,Product E,849.61,16,8
2024-09-14,East,Product A,690.05,13,6
2024-09-14,East,Product B,593.58,11,5
2024-09-14,East,Product C,665.26,13,6
2024-09-14,East,Product D,769.67,15,7
2024-09-14,East,Product E,630.8,12,6
2024-09-14,West,Product A,594.05,11,5
2024-09-14,West,Product B,745.61,14,7
2024-09-14,West,Product C,745.79,14,7
2024-09-14,West,Product D,638.88,12,6
2024-09-14,West,Product E,643.98,12,6
2024-09-14,Central,Product A,743.95,14,7
2024-09-14,Central,Product B,505.05,10,5
2024-09-14,Central,Product C,510.83,10,5
2024-09-14,Central,Product D,608.8,12,6
2024-09-14,Central,Product E,680.61,13,6
2024-09-15,North,Product A,753.74,15,7
2024-09-15,North,Product B,919.01,18,9
2024-09-15,North,Product C,831.34,16,8
2024-09-15,North,Product D,686.92,13,6
2024-09-15,North,Product E,706.92,14,7
2024-09-15,South,Product A,567.34,11,5
2024-09-15,South,Product B,706.99,14,7
2024-09-15,South,Product C,668.65,13,6
2024-09-15,South,Product D,755.42,15,7
2024-09-15,South,Product E,592.21,11,5
2024-09-15,East,Product A,783.33,15,7
2024-09-15,East,Product B,927.15,18,9
2024-09-15,East,Product C,694.18,13,6
2024-09-15,East,Product D,766.63,15,7
2024-09-15,East,Product E,807.57,16,8
2024-09-15,West,Product A,652.68,13,6
2024-09-15,West,Product B,741.42,14,7
2024-09-15,West,Product C,711.41,14,7
2024-09-15,West,Product D,723.48,14,7
2024-09-15,West,Product E,599.91,11,5
2024-09-15,Central,Product A,713.1,14,7
2024-09-15,Central,Product B,780.3,15,7
2024-09-15,Central,Product C,915.57,18,9
2024-09-15,Central,Product D,845.76,16,8
2024-09-15,Central,Product E,1015.21,20,10
2024-09-16,North,Product A,599.65,11,5
2024-09-16,North,Product B,831.95,16,8
2024-09-16,North,Product C,734.34,14,7
2024-09-16,North,Product D,1018.6,20,10
2024-09-16,North,Product E,593.85,11,5
2024-09-16,South,Product A,589.4,11,5
2024-09-16,South,Product B,623.45,12,6
2024-09-16,South,Product C,407.47,8,4
2024-09-16,South,Product D,633.88,12,6
2024-09-16,South,Product E,600.82,12,6
2024-09-16,East,Product A,729.67,14,7
2024-09-16,East,Product B,756.78,15,7
2024-09-16,East,Product C,974.17,19,9
2024-09-16,East,Product D,843.01,16,8
2024-09-16,East,Product E,626.63,12,6
2024-09-16,West,Product A,581.08,11,5
2024-09-16,West,Product B,778.06,15,7
2024-09-16,West,Product C,521.32,10,5
2024-09-16,West,Product D,967.83,19,9
2024-09-16,West,Product E,875.46,17,8
2024-09-16,Central,Product A,641.9,12,6
2024-09-16,Central,Product B,465.66,9,4
2024-09-16,Central,Product C,900.17,18,9
2024-09-16,Central,Product D,692.14,13,6
2024-09-16,Central,Product E,883.73,17,8
2024-09-17,North,Product A,481.68,9,4
2024-09-17,North,Product B,622.42,12,6
2024-09-17,North,Product C,707.94,14,7
2024-09-17,North,Product D,713.84,14,7
2024-09-17,North,Product E,643.54,12,6
2024-09-17,South,Product A,795.29,15,7
2024-09-17,South,Product B,556.19,11,5
2024-09-17,South,Product C,687.06,13,6
2024-09-17,South,Product D,724.21,14,7
2024-09-17,South,Product E,779.96,15,7
2024-09-17,East,Product A,807.85,16,8
2024-09-17,East,Product B,548.13,10,5
2024-09-17,East,Product C,490.21,9,4
2024-09-17,East,Product D,887.91,17,8
2024-09-17,East,Product E,754.2,15,7
2024-09-17,West,Product A,601.33,12,6
2024-09-17,West,Product B,926.59,18,9
2024-09-17,West,Product C,723.56,14,7
2024-09-17,West,Product D,874.0,17,8
2024-09-17,West,Product E,716.75,14,7
2024-09-17,Central,Product A,998.67,19,9
2024-09-17,Central,Product B,955.47,19,9
2024-09-17,Central,Product C,671.98,13,6
2024-09-17,Central,Product D,844.62,16,8
2024-09-17,Central,Product E,798.48,15,7
2024-09-18,North,Product A,899.4,17,8
2024-09-18,North,Product B,569.85,11,5
2024-09-18,North,Product C,803.0,16,8
2024-09-18,North,Product D,855.59,17,8
2024-09-18,North,Product E,457.74,9,4
2024-09-18,South,Product A,539.01,10,5
2024-09-18,South,Product B,418.13,8,4
2024-09-18,South,Product C,668.07,13,6
2024-09-18,South,Product D,807.45,16,8
2024-09-18,South,Product E,918.28,18,9
2024-09-18,East,Product A,716.58,14,7
2024-09-18,East,Product B,936.11,18,9
2024-09-18,East,Product C,511.21,10,5
2024-09-18,East,Product D,465.56,9,4
2024-09-18,East,Product E,698.27,13,6
2024-09-18,West,Product A,760.35,15,7
2024-09-18,West,Product B,701.5,14,7
2024-09-18,West,Product C,414.15,8,4
2024-09-18,West,Product D,693.53,13,6
2024-09-18,West,Product E,521.89,10,5
2024-09-18,Central,Product A,800.69,16,8
2024-09-18,Central,Product B,757.89,15,7
2024-09-18,Central,Product C,573.38,11,5
2024-09-18,Central,Product D,633.55,12,6
2024-09-18,Central,Product E,556.53,11,5
2024-09-19,North,Product A,696.28,13,6
2024-09-19,North,Product B,839.82,16,8
2024-09-19,North,Product C,566.11,11,5
2024-09-19,North,Product D,776.2,15,7
2024-09-19,North,Product E,630.34,12,6
2024-09-19,South,Product A,593.31,11,5
2024-09-19,South,Product B,690.03,13,6
2024-09-19,South,Product C,559.13,11,5
2024-09-19,South,Product D,627.04,12,6
2024-09-19,South,Product E,536.19,10,5
2024-09-19,East,Product A,982.2,19,9
2024-09-19,East,Product B,710.1,14,7
2024-09-19,East,Product C,606.44,12,6
2024-09-19,East,Product D,735.3,14,7
2024-09-19,East,Product E,689.28,13,6
2024-09-19,West,Product A,673.96,13,6
2024-09-19,West,Product B,791.73,15,7
2024-09-19,West,Product C,811.95,16,8
2024-09-19,West,Product D,630.31,12,6
2024-09-19,West,Product E,623.92,12,6
2024-09-19,Central,Product A,666.33,13,6
2024-09-19,Central,Product B,380.49,7,3
2024-09-19,Central,Product C,491.44,9,4
2024-09-19,Central,Product D,897.88,17,8
2024-09-19,Central,Product E,937.1,18,9
2024-09-20,North,Product A,669.14,13,6
2024-09-20,North,Product B,785.42,15,7
2024-09-20,North,Product C,748.05,14,7
2024-09-20,North,Product D,1137.85,22,11
2024-09-20,North,Product E,861.9,17,8
2024-09-20,South,Product A,686.2,13,6
2024-09-20,South,Product B,569.63,11,5
2024-09-20,South,Product C,477.96,9,4
2024-09-20,South,Product D,732.87,14,7
2024-09-20,South,Product E,597.69,11,5
2024-09-20,East,Product A,503.9,10,5
2024-09-20,East,Product B,613.15,12,6
2024-09-20,East,Product C,551.89,11,5
2024-09-20,East,Product D,941.84,18,9
2024-09-20,East,Product E,828.39,16,8
2024-09-20,West,Product A,703.09,14,7
2024-09-20,West,Product B,912.66,18,9
2024-09-20,West,Product C,715.11,14,7
2024-09-20,West,Product D,582.91,11,5
2024-09-20,West,Product E,918.74,18,9
2024-09-20,Central,Product A,780.12,15,7
2024-09-20,Central,Product B,558.13,11,5
2024-09-20,Central,Product C,677.41,13,6
2024-09-20,Central,Product D,580.89,11,5
2024-09-20,Central,Product E,509.46,10,5
2024-09-21,North,Product A,833.69,16,8
2024-09-21,North,Product B,972.01,19,9
2024-09-21,North,Product C,506.65,10,5
2024-09-21,North,Product D,782.59,15,7
2024-09-21,North,Product E,611.86,12,6
2024-09-21,South,Product A,634.87,12,6
2024-09-21,South,Product B,620.06,12,6
2024-09-21,South,Product C,581.85,11,5
2024-09-21,South,Product D,710.22,14,7
2024-09-21,South,Product E,586.5,11,5
2024-09-21,East,Product A,741.44,14,7
2024-09-21,East,Product B,696.33,13,6
2024-09-21,East,Product C,669.78,13,6
2024-09-21,East,Product D,575.72,11,5
2024-09-21,East,Product E,622.26,12,6
2024-09-21,West,Product A,809.66,16,8
2024-09-21,West,Product B,773.87,15,7
2024-09-21,West,Product C,565.87,11,5
2024-09-21,West,Product D,717.37,14,7
2024-09-21,West,Product E,809.1,16,8
2024-09-21,Central,Product A,468.55,9,4
2024-09-21,Central,Product B,779.84,15,7
2024-09-21,Central,Product C,610.18,12,6
2024-09-21,Central,Product D,783.67,15,7
2024-09-21,Central,Product E,596.02,11,5
2024-09-22,North,Product A,449.02,8,4
2024-09-22,North,Product B,473.94,9,4
2024-09-22,North,Product C,709.42,14,7
2024-09-22,North,Product D,739.17,14,7
2024-09-22,North,Product E,575.58,11,5
2024-09-22,South,Product A,792.41,15,7
2024-09-22,South,Product B,469.17,9,4
2024-09-22,South,Product C,693.38,13,6
2024-09-22,South,Product D,532.48,10,5
2024-09-22,South,Product E,611.06,12,6
2024-09-22,East,Product A,709.33,14,7
2024-09-22,East,Product B,581.75,11,5
2024-09-22,East,Product C,648.62,12,6
2024-09-22,East,Product D,844.08,16,8
2024-09-22,East,Product E,621.59,12,6
2024-09-22,West,Product A,820.11,16,8
2024-09-22,West,Product B,543.9,10,5
2024-09-22,West,Product C,777.12,15,7
2024-09-22,West,Product D,905.25,18,9
2024-09-22,West,Product E,355.32,7,3
2024-09-22,Central,Product A,590.68,11,5
2024-09-22,Central,Product B,783.76,15,7
2024-09-22,Central,Product C,674.13,13,6
2024-09-22,Central,Product D,754.82,15,7
2024-09-22,Central,Product E,617.79,12,6
2024-09-23,North,Product A,714.18,14,7
2024-09-23,North,Product B,680.17,13,6
2024-09-23,North,Product C,865.98,17,8
2024-09-23,North,Product D,737.74,14,7
2024-09-23,North,Product E,749.42,14,7
2024-09-23,South,Product A,644.19,12,6
2024-09-23,South,Product B,633.56,12,6
2024-09-23,South,Product C,641.29,12,6
2024-09-23,South,Product D,757.41,15,7
2024-09-23,South,Product E,642.91,12,6
2024-09-23,East,Product A,742.71,14,7
2024-09-23,East,Product B,993.42,19,9
2024-09-23,East,Product C,824.33,16,8
2024-09-23,East,Product D,656.25,13,6
2024-09-23,East,Product E,870.68,17,8
2024-09-23,West,Product A,644.73,12,6
2024-09-23,West,Product B,415.86,8,4
2024-09-23,West,Product C,560.48,11,5
2024-09-23,West,Product D,439.36,8,4
2024-09-23,West,Product E,652.67,13,6
2024-09-23,Central,Product A,704.61,14,7
2024-09-23,Central,Product B,937.4,18,9
2024-09-23,Central,Product C,747.93,14,7
2024-09-23,Central,Product D,671.26,13,6
2024-09-23,Central,Product E,818.48,16,8
2024-09-24,North,Product A,391.26,7,3
2024-09-24,North,Product B,734.52,14,7
2024-09-24,North,Product C,809.62,16,8
2024-09-24,North,Product D,494.03,9,4
2024-09-24,North,Product E,861.93,17,8
2024-09-24,South,Product A,748.96,14,7
2024-09-24,South,Product B,643.21,12,6
2024-09-24,South,Product C,790.24,15,7
2024-09-24,South,Product D,1020.03,20,10
2024-09-24,South,Product E,726.98,14,7
2024-09-24,East,Product A,736.29,14,7
2024-09-24,East,Product B,637.02,12,6
2024-09-24,East,Product C,582.24,11,5
2024-09-24,East,Product D,817.96,16,8
2024-09-24,East,Product E,581.37,11,5
2024-09-24,West,Product A,711.51,14,7
2024-09-24,West,Product B,634.46,12,6
2024-09-24,West,Product C,768.67,15,7
2024-09-24,West,Product D,748.28,14,7
2024-09-24,West,Product E,847.03,16,8
2024-09-24,Central,Product A,629.92,12,6
2024-09-24,Central,Product B,663.61,13,6
2024-09-24,Central,Product C,564.15,11,5
2024-09-24,Central,Product D,639.14,12,6
2024-09-24,Central,Product E,754.4,15,7
2024-09-25,North,Product A,807.13,16,8
2024-09-25,North,Product B,571.71,11,5
2024-09-25,North,Product C,822.92,16,8
2024-09-25,North,Product D,891.06,17,8
2024-09-25,North,Product E,758.97,15,7
2024-09-25,South,Product A,964.13,19,9
2024-09-25,South,Product B,592.52,11,5
2024-09-25,South,Product C,526.5,10,5
2024-09-25,South,Product D,451.62,9,4
2024-09-25,South,Product E,910.75,18,9
2024-09-25,East,Product A,792.74,15,7
2024-09-25,East,Product B,693.21,13,6
2024-09-25,East,Product C,740.25,14,7
2024-09-25,East,Product D,543.21,10,5
2024-09-25,East,Product E,1043.9,20,10
2024-09-25,West,Product A,719.12,14,7
2024-09-25,West,Product B,716.34,14,7
2024-09-25,West,Product C,802.76,16,8
2024-09-25,West,Product D,768.44,15,7
2024-09-25,West,Product E,732.39,14,7
2024-09-25,Central,Product A,590.18,11,5
2024-09-25,Central,Product B,767.1,15,7
2024-09-25,Central,Product C,964.86,19,9
2024-09-25,Central,Product D,889.63,17,8
2024-09-25,Central,Product E,924.37,18,9
2024-09-26,North,Product A,628.99,12,6
2024-09-26,North,Product B,561.96,11,5
2024-09-26,North,Product C,683.0,13,6
2024-09-26,North,Product D,708.43,14,7
2024-09-26,North,Product E,853.95,17,8
2024-09-26,South,Product A,463.47,9,4
2024-09-26,South,Product B,914.95,18,9
2024-09-26,South,Product C,678.48,13,6
2024-09-26,South,Product D,640.81,12,6
2024-09-26,South,Product E,558.8,11,5
2024-09-26,East,Product A,468.74,9,4
2024-09-26,East,Product B,815.97,16,8
2024-09-26,East,Product C,710.9,14,7
2024-09-26,East,Product D,519.87,10,5
2024-09-26,East,Product E,519.15,10,5
2024-09-26,West,Product A,653.57,13,6
2024-09-26,West,Product B,934.5,18,9
2024-09-26,West,Product C,664.25,13,6
2024-09-26,West,Product D,490.0,9,4
2024-09-26,West,Product E,666.19,13,6
2024-09-26,Central,Product A,662.41,13,6
2024-09-26,Central,Product B,322.72,6,3
2024-09-26,Central,Product C,693.02,13,6
2024-09-26,Central,Product D,668.27,13,6
2024-09-26,Central,Product E,798.18,15,7
2024-09-27,North,Product A,959.31,19,9
2024-09-27,North,Product B,858.13,17,8
2024-09-27,North,Product C,662.67,13,6
2024-09-27,North,Product D,545.35,10,5
2024-09-27,North,Product E,1060.78,21,10
2024-09-27,South,Product A,708.63,14,7
2024-09-27,South,Product B,702.29,14,7
